Algorithm	File	Fitness	Time(s)	Evals
MemeticAlgorithm (BEST)	GKD-b_10_n25_m7	23.8596	0.106052	100000
MemeticAlgorithm (BEST)	GKD-b_11_n50_m5	4.35497	0.0900819	100000
MemeticAlgorithm (BEST)	GKD-b_12_n50_m5	4.80508	0.0879494	100000
MemeticAlgorithm (BEST)	GKD-b_13_n50_m5	6.10827	0.0875675	100000
MemeticAlgorithm (BEST)	GKD-b_14_n50_m5	5.37711	0.0891587	100000
MemeticAlgorithm (BEST)	GKD-b_15_n50_m5	5.12202	0.0900971	100000
MemeticAlgorithm (BEST)	GKD-b_16_n50_m15	62.8103	0.135938	100000
MemeticAlgorithm (BEST)	GKD-b_17_n50_m15	58.6926	0.140957	100000
MemeticAlgorithm (BEST)	GKD-b_18_n50_m15	61.7759	0.135948	100000
MemeticAlgorithm (BEST)	GKD-b_19_n50_m15	62.2867	0.150173	100000
MemeticAlgorithm (BEST)	GKD-b_20_n50_m15	64.1338	0.137498	100000
MemeticAlgorithm (BEST)	GKD-b_21_n100_m10	21.2711	0.148298	100000
MemeticAlgorithm (BEST)	GKD-b_22_n100_m10	26.3402	0.156652	100000
MemeticAlgorithm (BEST)	GKD-b_23_n100_m10	25.5713	0.144255	100000
MemeticAlgorithm (BEST)	GKD-b_24_n100_m10	26.5153	0.146239	100000
MemeticAlgorithm (BEST)	GKD-b_25_n100_m10	25.9321	0.149196	100000
MemeticAlgorithm (BEST)	GKD-b_26_n100_m30	231.605	0.418155	100000
MemeticAlgorithm (BEST)	GKD-b_27_n100_m30	188.448	0.429506	100000
MemeticAlgorithm (BEST)	GKD-b_28_n100_m30	200.431	0.44803	100000
MemeticAlgorithm (BEST)	GKD-b_29_n100_m30	202.321	0.423469	100000
MemeticAlgorithm (BEST)	GKD-b_30_n100_m30	194.492	0.396526	100000
MemeticAlgorithm (BEST)	GKD-b_31_n125_m12	26.8329	0.23275	100000
MemeticAlgorithm (BEST)	GKD-b_32_n125_m12	33.8383	0.201015	100000
MemeticAlgorithm (BEST)	GKD-b_33_n125_m12	30.7785	0.205011	100000
MemeticAlgorithm (BEST)	GKD-b_34_n125_m12	37.2213	0.206494	100000
MemeticAlgorithm (BEST)	GKD-b_35_n125_m12	30.7514	0.204662	100000
MemeticAlgorithm (BEST)	GKD-b_36_n125_m37	257.649	0.640951	100000
MemeticAlgorithm (BEST)	GKD-b_37_n125_m37	321.126	0.689655	100000
MemeticAlgorithm (BEST)	GKD-b_38_n125_m37	334.447	0.660256	100000
MemeticAlgorithm (BEST)	GKD-b_39_n125_m37	286.166	0.642396	100000
MemeticAlgorithm (BEST)	GKD-b_40_n125_m37	355.589	0.610424	100000
MemeticAlgorithm (BEST)	GKD-b_41_n150_m15	43.6465	0.272515	100000
MemeticAlgorithm (BEST)	GKD-b_42_n150_m15	49.4505	0.262199	100000
MemeticAlgorithm (BEST)	GKD-b_43_n150_m15	45.406	0.275637	100000
MemeticAlgorithm (BEST)	GKD-b_44_n150_m15	48.9116	0.27398	100000
MemeticAlgorithm (BEST)	GKD-b_45_n150_m15	46.1147	0.248644	100000
MemeticAlgorithm (BEST)	GKD-b_46_n150_m45	436.763	0.983411	100000
MemeticAlgorithm (BEST)	GKD-b_47_n150_m45	356.602	1.06367	100000
MemeticAlgorithm (BEST)	GKD-b_48_n150_m45	367.199	0.940651	100000
MemeticAlgorithm (BEST)	GKD-b_49_n150_m45	420.928	1.03123	100000
MemeticAlgorithm (BEST)	GKD-b_50_n150_m45	389.793	0.987796	100000
MemeticAlgorithm (BEST)	MEDIA_N25	8.91891	0.13289	100000
MemeticAlgorithm (BEST)	MEDIA_N50	33.5467	0.114537	100000
MemeticAlgorithm (BEST)	MEDIA_N100	114.293	0.286033	100000
MemeticAlgorithm (BEST)	MEDIA_N125	171.44	0.429361	100000
MemeticAlgorithm (BEST)	MEDIA_N150	220.481	0.633973	100000
MemeticAlgorithm (BEST)	MEDIA_GLOBAL	109.736	0.319359	100000
BasicMultiStart	GKD-b_1_n25_m2	0	0.000254513	470
BasicMultiStart	GKD-b_2_n25_m2	0	0.000250533	470
BasicMultiStart	GKD-b_3_n25_m2	0	0.000248113	470
BasicMultiStart	GKD-b_4_n25_m2	0	0.000247203	470
BasicMultiStart	GKD-b_5_n25_m2	0	0.000248782	470
BasicMultiStart	GKD-b_6_n25_m7	17.5546	0.00214604	2426
BasicMultiStart	GKD-b_7_n25_m7	20.4876	0.00213075	2591.8
BasicMultiStart	GKD-b_8_n25_m7	21.272	0.00220931	2612.2
BasicMultiStart	GKD-b_9_n25_m7	27.5563	0.00247091	2850.2
BasicMultiStart	GKD-b_10_n25_m7	24.6469	0.0024562	2714.8
BasicMultiStart	GKD-b_11_n50_m5	7.74854	0.00322755	4250.8
BasicMultiStart	GKD-b_12_n50_m5	6.79752	0.00299017	3813.2
BasicMultiStart	GKD-b_13_n50_m5	8.53879	0.00310601	4197.8
BasicMultiStart	GKD-b_14_n50_m5	8.16503	0.00313564	4131.2
BasicMultiStart	GKD-b_15_n50_m5	8.11827	0.00301917	4109.8
BasicMultiStart	GKD-b_16_n50_m15	63.6435	0.0212745	15185.2
BasicMultiStart	GKD-b_17_n50_m15	66.2292	0.0238835	17507.2
BasicMultiStart	GKD-b_18_n50_m15	68.0954	0.0194387	14029
BasicMultiStart	GKD-b_19_n50_m15	76.1928	0.0224039	14944
BasicMultiStart	GKD-b_20_n50_m15	75.0222	0.0191539	13160.6
BasicMultiStart	GKD-b_21_n100_m10	26.429	0.0258598	21184.8
BasicMultiStart	GKD-b_22_n100_m10	28.5173	0.023652	19284.6
BasicMultiStart	GKD-b_23_n100_m10	27.5565	0.0244751	20765.4
BasicMultiStart	GKD-b_24_n100_m10	23.2913	0.0231777	17029.8
BasicMultiStart	GKD-b_25_n100_m10	26.3917	0.0271305	20893.6
BasicMultiStart	GKD-b_26_n100_m30	270.173	0.188422	70103.4
BasicMultiStart	GKD-b_27_n100_m30	222.357	0.177853	70324.2
BasicMultiStart	GKD-b_28_n100_m30	199.544	0.187527	68952
BasicMultiStart	GKD-b_29_n100_m30	190.525	0.184684	68746
BasicMultiStart	GKD-b_30_n100_m30	209.556	0.182347	65979.6
BasicMultiStart	GKD-b_31_n125_m12	21.7363	0.0695696	49767.2
BasicMultiStart	GKD-b_32_n125_m12	27.8079	0.0492607	31385
BasicMultiStart	GKD-b_33_n125_m12	32.1556	0.0628727	34795.2
BasicMultiStart	GKD-b_34_n125_m12	31.2868	0.0464416	31755
BasicMultiStart	GKD-b_35_n125_m12	30.6598	0.0483307	32801
BasicMultiStart	GKD-b_36_n125_m37	306.362	0.330043	84678.2
BasicMultiStart	GKD-b_37_n125_m37	330.748	0.30951	86311.8
BasicMultiStart	GKD-b_38_n125_m37	348.246	0.35622	86692.4
BasicMultiStart	GKD-b_39_n125_m37	288.645	0.326346	86626.4
BasicMultiStart	GKD-b_40_n125_m37	326.177	0.28611	83574.4
BasicMultiStart	GKD-b_41_n150_m15	40.9461	0.0858737	49535.6
BasicMultiStart	GKD-b_42_n150_m15	48.086	0.0924328	55365.6
BasicMultiStart	GKD-b_43_n150_m15	39.349	0.0935812	55899.6
BasicMultiStart	GKD-b_44_n150_m15	40.2517	0.0867939	51592.2
BasicMultiStart	GKD-b_45_n150_m15	43.6988	0.0814638	48730.8
BasicMultiStart	GKD-b_46_n150_m45	448.989	0.505604	97533.4
BasicMultiStart	GKD-b_47_n150_m45	366.815	0.511402	98888.6
BasicMultiStart	GKD-b_48_n150_m45	386.426	0.495197	97124.2
BasicMultiStart	GKD-b_49_n150_m45	432.39	0.480042	98006.2
BasicMultiStart	GKD-b_50_n150_m45	400.326	0.499781	97582.6
BasicMultiStart	MEDIA_N25	11.1518	0.00126624	1554.5
BasicMultiStart	MEDIA_N50	38.8551	0.0121633	9532.88
BasicMultiStart	MEDIA_N100	122.434	0.104513	44326.3
BasicMultiStart	MEDIA_N125	174.383	0.18847	60838.7
BasicMultiStart	MEDIA_N150	224.728	0.293217	75025.9
BasicMultiStart	MEDIA_GLOBAL	114.31	0.119926	38255.7
IteratedLocalSearch (BL)	GKD-b_1_n25_m2	0	0.000236862	469
IteratedLocalSearch (BL)	GKD-b_2_n25_m2	0	0.000238018	469
IteratedLocalSearch (BL)	GKD-b_3_n25_m2	0	0.000336798	469
IteratedLocalSearch (BL)	GKD-b_4_n25_m2	0	0.000253565	469
